rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.08,0.2,94.57
2,3,Liverpool,Barclays Premier League,2.94,0.21,93.79
3,2,Bayern Munich,German Bundesliga,3.24,0.33,93.73
4,4,Barcelona,Spanish Primera Division,3.05,0.28,93.33
5,7,Real Madrid,Spanish Primera Division,2.74,0.49,88.0
6,5,Paris Saint-Germain,French Ligue 1,2.88,0.6,87.35
7,6,Atletico Madrid,Spanish Primera Division,2.18,0.29,86.34
8,8,Chelsea,Barclays Premier League,2.43,0.51,84.53
9,9,Tottenham Hotspur,Barclays Premier League,2.31,0.48,83.76
10,10,Ajax,Dutch Eredivisie,3.17,1.02,83.32
11,11,Juventus,Italy Serie A,2.27,0.52,82.61
12,15,Olympiacos,Greek Super League,2.56,0.72,81.98
13,17,Internazionale,Italy Serie A,2.19,0.52,81.61
14,18,Atalanta,Italy Serie A,2.41,0.65,81.53
15,14,Sevilla FC,Spanish Primera Division,2.4,0.65,81.35
16,16,RB Leipzig,German Bundesliga,2.22,0.56,81.02
17,12,Valencia,Spanish Primera Division,2.13,0.52,80.8
18,20,Eibar,Spanish Primera Division,2.12,0.52,80.65
19,19,Napoli,Italy Serie A,2.19,0.58,80.1
20,25,Getafe,Spanish Primera Division,1.89,0.41,79.81
21,26,Bayer Leverkusen,German Bundesliga,2.39,0.73,79.59
22,30,PAOK Salonika,Greek Super League,2.33,0.75,78.41
23,23,Borussia Dortmund,German Bundesliga,2.3,0.73,78.39
24,22,FC Porto,Portuguese Liga,2.21,0.68,78.34
25,27,TSG Hoffenheim,German Bundesliga,2.62,0.95,78.18
26,13,Arsenal,Barclays Premier League,2.29,0.74,78.09
27,21,FC Salzburg,Austrian T-Mobile Bundesliga,2.56,0.92,78.09
28,29,Leganes,Spanish Primera Division,1.73,0.41,77.34
29,28,Athletic Bilbao,Spanish Primera Division,1.91,0.53,77.13
30,32,Benfica,Portuguese Liga,2.32,0.81,77.05
31,34,PSV,Dutch Eredivisie,2.49,0.94,76.86
32,24,Manchester United,Barclays Premier League,2.19,0.74,76.54
33,42,Everton,Barclays Premier League,1.94,0.59,76.29
34,31,Eintracht Frankfurt,German Bundesliga,2.12,0.73,75.7
35,36,Lazio,Italy Serie A,2.02,0.68,75.29
36,37,Villarreal,Spanish Primera Division,2.12,0.75,75.22
37,35,Real Sociedad,Spanish Primera Division,1.95,0.65,74.87
38,39,AS Roma,Italy Serie A,2.2,0.85,74.38
39,43,Leicester City,Barclays Premier League,2.02,0.72,74.37
40,33,Young Boys,Swiss Raiffeisen Super League,2.27,0.91,74.19
41,41,Lyon,French Ligue 1,2.23,0.88,74.15
42,38,AC Milan,Italy Serie A,1.88,0.64,74.12
43,40,Galatasaray,Turkish Turkcell Super Lig,2.22,0.9,73.49
44,49,FC Copenhagen,Danish SAS-Ligaen,2.14,0.88,72.69
45,45,Shakhtar Donetsk,UEFA Europa League,2.15,0.93,71.79
46,48,Lille,French Ligue 1,1.79,0.68,71.57
47,57,Wolverhampton,Barclays Premier League,1.86,0.73,71.55
48,46,Club Brugge,Belgian Jupiler League,2.14,0.94,71.4
49,53,Crystal Palace,Barclays Premier League,1.89,0.78,70.87
50,47,Real Betis,Spanish Primera Division,1.91,0.79,70.84
51,51,Girona FC,Spanish Primera Division,1.87,0.76,70.82
52,59,SD Huesca,Spanish Primera Division,1.93,0.81,70.75
53,52,Besiktas,Turkish Turkcell Super Lig,2.47,1.23,70.46
54,61,Zenit St Petersburg,Russian Premier Liga,1.94,0.83,70.46
55,55,CSKA Moscow,Russian Premier Liga,1.75,0.7,70.31
56,54,Palmeiras,Brasileiro Série A,1.85,0.77,70.25
57,64,Sporting CP,Portuguese Liga,1.87,0.8,69.88
58,56,Borussia Monchengladbach,German Bundesliga,1.97,0.89,69.6
59,50,Espanyol,Spanish Primera Division,1.89,0.84,69.35
60,62,Alavés,Spanish Primera Division,1.76,0.75,69.06
61,63,Fiorentina,Italy Serie A,1.86,0.83,69.06
62,60,FC Krasnodar,Russian Premier Liga,1.84,0.82,68.98
63,71,St Etienne,French Ligue 1,1.81,0.8,68.98
64,70,Flamengo,Brasileiro Série A,1.84,0.82,68.96
65,80,Feyenoord,Dutch Eredivisie,2.26,1.14,68.87
66,58,Werder Bremen,German Bundesliga,2.03,0.97,68.86
67,66,Sampdoria,Italy Serie A,1.95,0.91,68.76
68,67,Dynamo Kiev,UEFA Europa League,1.98,0.94,68.7
69,68,Torino,Italy Serie A,1.68,0.7,68.66
70,69,Marseille,French Ligue 1,1.76,0.77,68.64
71,79,Celta Vigo,Spanish Primera Division,1.98,0.95,68.33
72,74,Genk,Belgian Jupiler League,1.94,0.95,67.75
73,72,Southampton,Barclays Premier League,1.92,0.93,67.71
74,65,Watford,Barclays Premier League,1.95,0.96,67.58
75,77,Real Valladolid,Spanish Primera Division,1.75,0.8,67.56
76,75,Burnley,Barclays Premier League,1.87,0.92,67.14
77,73,Newcastle,Barclays Premier League,1.71,0.8,66.75
78,76,Basel,Swiss Raiffeisen Super League,1.9,0.96,66.67
79,78,Lokomotiv Moscow,Russian Premier Liga,1.73,0.83,66.45
80,85,VfL Wolfsburg,German Bundesliga,1.87,0.95,66.42
81,92,Levante,Spanish Primera Division,2.01,1.07,66.11
82,44,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.59,0.74,66.0
83,82,Montpellier,French Ligue 1,1.65,0.79,66.0
84,89,Bologna,Italy Serie A,1.73,0.86,65.77
85,84,AFC Bournemouth,Barclays Premier League,1.98,1.08,65.39
86,83,Leeds United,English League Championship,1.75,0.9,65.31
87,86,Nantes,French Ligue 1,1.63,0.8,65.19
88,88,Grêmio,Brasileiro Série A,1.67,0.85,64.88
